Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ANA,19,29.0,4.59,77,85,.475,4.28,162,162,157,5,9,2,39,1431.1,1444,743,680,190,486,38,980,76,3,53,6161,103,4.57,1.348,9.1,1.2,3.1,6.2,2.02,1124
ARI,22,29.2,4.23,84,78,.519,3.84,162,162,155,7,11,5,42,1455.0,1379,685,621,150,526,53,1291,72,9,52,6230,122,3.83,1.309,8.5,0.9,3.3,8.0,2.45,1180
ATL,17,31.1,4.57,101,61,.623,4.10,162,162,158,4,7,1,51,1456.1,1425,740,663,147,555,69,992,42,4,53,6247,105,4.21,1.360,8.8,0.9,3.4,6.1,1.79,1138
BAL,20,29.2,5.03,71,91,.438,4.76,163,163,154,9,3,1,41,1449.2,1579,820,767,198,526,43,981,80,4,42,6366,95,4.71,1.452,9.8,1.2,3.3,6.1,1.87,1197
BOS,26,31.2,4.99,95,67,.586,4.48,162,162,157,5,6,0,36,1464.2,1503,809,729,153,488,41,1141,76,0,44,6355,104,3.99,1.359,9.2,0.9,3.0,7.0,2.34,1152
CHC,17,28.2,4.22,88,74,.543,3.83,162,162,149,13,14,6,36,1456.1,1304,683,619,143,617,36,1404,71,3,63,6227,114,3.80,1.319,8.1,0.9,3.8,8.7,2.28,1175
CHW,20,27.9,4.41,86,76,.531,4.17,162,162,150,12,4,0,36,1431.0,1364,715,663,162,518,30,1056,53,4,39,6067,111,4.22,1.315,8.6,1.0,3.3,6.6,2.04,1059
CIN,30,28.0,5.47,69,93,.426,5.09,162,162,158,4,5,1,38,1446.1,1578,886,818,209,590,61,932,48,3,46,6423,81,4.94,1.499,9.8,1.3,3.7,5.8,1.58,1198
CLE,29,26.3,4.80,68,94,.420,4.21,162,162,157,5,7,2,34,1459.1,1477,778,682,179,501,37,943,64,7,49,6254,105,4.49,1.355,9.1,1.1,3.1,5.8,1.88,1098
COL,23,28.0,5.51,74,88,.457,5.20,162,162,159,3,4,0,34,1420.0,1629,892,821,200,552,51,866,84,8,48,6364,95,4.99,1.536,10.3,1.3,3.5,5.5,1.57,1212
DET,20,25.3,5.73,43,119,.265,5.30,162,162,159,3,5,0,27,1438.2,1616,928,847,195,557,35,764,56,5,52,6376,81,5.01,1.510,10.1,1.2,3.5,4.8,1.37,1132
FLA,22,26.3,4.27,91,71,.562,4.04,162,162,155,7,11,2,36,1445.1,1415,692,648,128,530,40,1132,40,11,51,6165,105,3.80,1.346,8.8,0.8,3.3,7.0,2.14,1137
HOU,23,27.6,4.18,87,75,.537,3.86,162,162,161,1,5,0,50,1450.0,1350,677,622,161,565,53,1139,74,4,40,6176,114,4.23,1.321,8.4,1.0,3.5,7.1,2.02,1149
KCR,29,28.0,5.35,83,79,.512,5.05,162,162,155,7,10,3,36,1438.2,1569,867,808,190,566,33,865,66,9,60,6366,97,4.86,1.484,9.8,1.2,3.5,5.4,1.53,1183
LAD,19,31.2,3.43,85,77,.525,3.16,162,162,159,3,17,3,58,1457.2,1254,556,511,127,526,35,1289,40,5,50,6001,128,3.56,1.221,7.7,0.8,3.2,8.0,2.45,1072
MIL,23,27.6,5.39,68,94,.420,5.02,162,162,157,5,3,1,44,1452.0,1590,873,810,219,575,43,1034,61,8,57,6459,86,4.88,1.491,9.9,1.4,3.6,6.4,1.80,1230
MIN,20,29.7,4.68,90,72,.556,4.41,162,162,155,7,8,3,45,1462.0,1526,758,716,187,402,35,997,50,9,62,6246,103,4.26,1.319,9.4,1.2,2.5,6.1,2.48,1102
MON,25,26.7,4.42,83,79,.512,4.01,162,162,147,15,10,2,42,1437.2,1467,716,640,181,463,51,1028,71,4,71,6171,113,4.35,1.342,9.2,1.1,2.9,6.4,2.22,1142
NYM,25,31.6,4.68,66,95,.410,4.48,161,161,158,3,10,3,38,1413.1,1497,754,704,168,576,71,907,45,7,45,6204,94,4.61,1.467,9.5,1.1,3.7,5.8,1.57,1210
NYY,23,33.7,4.39,101,61,.623,4.02,163,163,155,8,12,3,49,1462.0,1512,716,653,145,375,36,1119,49,0,33,6209,110,3.66,1.291,9.3,0.9,2.3,6.9,2.98,1107
OAK,18,27.4,3.97,96,66,.593,3.63,162,162,146,16,14,5,48,1441.2,1336,643,582,140,499,42,1018,54,10,41,6078,123,4.03,1.273,8.3,0.9,3.1,6.4,2.04,1110
PHI,20,29.0,4.30,86,76,.531,4.04,162,162,153,9,13,7,33,1443.2,1386,697,648,142,536,51,1060,77,4,53,6195,99,4.12,1.331,8.6,0.9,3.3,6.6,1.98,1167
PIT,23,28.3,4.94,75,87,.463,4.64,162,162,155,7,10,3,44,1444.1,1527,801,744,178,502,58,926,61,2,50,6293,95,4.52,1.405,9.5,1.1,3.1,5.8,1.84,1159
SDP,27,27.8,5.13,64,98,.395,4.87,162,162,160,2,10,0,31,1431.1,1458,831,774,208,611,52,1091,62,3,64,6303,82,4.80,1.446,9.2,1.3,3.8,6.9,1.79,1178
SEA,18,29.8,3.93,93,69,.574,3.76,162,162,154,8,15,3,38,1441.0,1340,637,602,173,466,24,1001,54,4,35,6025,115,4.28,1.253,8.4,1.1,2.9,6.3,2.15,1065
SFG,21,28.6,3.96,100,61,.621,3.73,161,161,154,7,10,4,43,1437.1,1349,638,595,136,546,34,1006,43,8,68,6090,113,4.09,1.318,8.4,0.9,3.4,6.3,1.84,1140
STL,24,31.2,4.91,85,77,.525,4.60,162,162,153,9,10,3,41,1463.2,1544,796,748,210,508,36,969,65,1,53,6375,90,4.75,1.402,9.5,1.3,3.1,6.0,1.91,1188
TBD,24,26.4,5.26,63,99,.389,4.93,162,162,155,7,7,3,30,1436.2,1454,852,787,196,639,37,877,95,9,65,6340,90,5.12,1.457,9.1,1.2,4.0,5.5,1.37,1178
TEX,27,28.1,5.98,71,91,.438,5.67,162,162,158,4,3,2,43,1433.1,1625,969,903,208,603,45,1009,63,8,51,6413,89,4.90,1.554,10.2,1.3,3.8,6.3,1.67,1144
TOR,22,29.0,5.10,86,76,.531,4.69,162,162,148,14,6,4,35,1435.0,1560,826,748,184,485,46,984,57,2,56,6270,101,4.46,1.425,9.8,1.2,3.0,6.2,2.03,1139
LgAvg,20,28.7,4.73,81,81,.500,4.39,162,162,155,7,,,40,1445,1469,766,705,174,530,44,1027,62,5,52,6248,101,4.40,1.383,9.1,1.1,3.3,6.4,1.94,1149
,612,28.7,4.73,2429,2429,.500,4.39,4860,4860,4651,209,,,1198,43335.1,44057,22978,21153,5207,15889,1316,30801,1849,158,1546,187449,101,4.40,1.383,9.1,1.1,3.3,6.4,1.94,34465